abacinat: vc; 'abacinate' 
acetylis: vc; 'acetylise' 
ach: vc;VI ill needForW perOrgV vi volition 'ache' 
achiev: vc;pt vacVO vt 'achieve' 
achromatis: vc; 'achromatise' 
acid-washe: vc;clean hyphenated 'acid-wash' 
acidifi: vc;chgAttr vt 'acidify' 
acidifie: vc;chgAttr vt 'acidify' 
acidulat: vc;chgAttr 'acidulate' 
acknowledg: vc;VNG VNPNP VNPPNGoc VNPPP VNPPPas VNPTObe VPPTH VSS VTH VWHSS express pEmo tWord vt 'acknowledge' 
acquiesc: vc;VI VPP VPhisNG pAttitude vi 'acquiesce' 
acquir: vc;VNPPP VNPPPPP useC vt 'acquire' 
acquitt: vc;VNPPP chgIsa express vt 'acquit' 
activat: vc;chgState promoteW vt 'activate' 
actualis: vc;mkBetter vt 'actualise' 
actualiz: vc;mkBetter vt 'actualize' 
actuat: vc;enDo vt 'actuate' 
ad-libb: vc;abstract hyphenated vt 'ad-lib' 
addl: vc;sequence vt 'addle' 
adduc: vc;express vt 'adduce' 
adher: vc;VNPPP VPP chgFit connect 'adhere' 
adjudg: vc;VNPTObe VTH dative express vt 'adjudge' 
adjudicat: vc;VPP VPPNG VPhisNG decide 'adjudicate' 
adjur: vc;VNPTOoc enDo vt 'adjure' 
adlibb: ;v 'adlib' 
admeasur: vc;enDo 'admeasure' 
administrat: vc;control 'administrate' 
admir: vc;fondOf pEmo pt vt 'admire' 
admitt: vc;VNG VNPAP VNPPP VPNGsc VPP VPPTH VSS VTH chgInclude express tWord vVing vt 'admit' 
admixe: vc;VIrecip VPP tie vt 'admix' 
admonishe: vc;VNPPP VNPPhisNG nAttitude vtPer 'admonish' 
ador: vc;VNG VPPforTO emph fondOf love passion vt vtoV 'adore' 
adulat: vc;please 'adulate' 
adulterat: vc;VNPPP quality vt 'adulterate' 
adumbrat: vc;beC vt 'adumbrate' 
advanc: vc;VNPPP VNPPPas VPP VPPdir VerbNom dative n promoteW statePhy vacP vacTo xiangV 'advance' 
advantag: vc;abstract prod0 superiority up v 'advantage' 
adventur: vc;VI abstract v 'adventure' 
advertis: vc;VNPPP VNPPPas VPP VPPforTO VPPhowTO VTH VhisNG express perOrgV vtoV 'advertise' 
advertiz: vc;VNPPP VNPPPas VPP VPPforTO VPPhowTO VTH VhisNG express perOrgV vt vtoV 'advertize' 
advis: vc;VI VNPPP VNPPhisNG VNPSS VNPTOoc VPP VPhisNG VSS VhisNG express perOrgV tWord vtPer 'advise' 
advocat: vc;VNPPPas VhisNG count orgHN per vt 'advocate' 
aerat: vc;chgLooks metabolize 'aerate' 
aerifi: vc;chgQuant 'aerify' 
aerifie: vc;chgQuant 'aerify' 
aerosolis: vc; 'aerosolise' 
aestivat: vc;rest vt 'aestivate' 
affianc: vc;VNPPP vt 'affiance' 
affiliat: vc;VNPPP VPP orgHN 'affiliate' 
affixe: vc;VNPPP VPP abstract component count vt 'affix' 
agglomerat: vc;chgLooks looksChg 'agglomerate' 
agglutinat: vc;VNPPP VPP connect vt 'agglutinate' 
aggrad: vc; 'aggrade' 
aggrandiz: vc;express quantChg vt 'aggrandize' 
aggravat: vc;aggravateW vt 'aggravate' 
aggregat: vc;VI VIrecip VNPPP VPP VerbNom artifact count quant vt 'aggregate' 
aggresse: vc;VPP mkBad 'aggress' 
aggriev: vc;vt 'aggrieve' 
agitat: vc;VPP VPPforTO aggravateW chgEmo mkBad vtoV 'agitate' 
agnis: vc;know 'agnise' 
agniz: vc;know 'agnize' 
agoniz: vc;nEmo 'agonize' 
air-dri: A vc;a chgMeasure hyphenated 'air-dry' 
air-drie: A vc;a chgMeasure hyphenated 'air-dry' 
air-dropp: vc;hyphenated moveDown 'air-drop' 
airdropp: vc;abstract v 'airdrop' 
alchemis: vc; 'alchemise' 
alcoholis: vc;chgAttr 'alcoholise' 
alcoholiz: vc;chgAttr 'alcoholize' 
alienat: vc;VNPPP chgConnect chgPoss vt 'alienate' 
alin: vc;associate chgCompare 'aline' 
alkalifi: vc;chgAttr 'alkalify' 
alkalifie: vc;chgAttr 'alkalify' 
alkalinis: vc; 'alkalinise' 
alleg: vc;VNPTObe VSS VTH attack blame vt 'allege' 
allegoris: vc; 'allegorise' 
alleviat: vc;chgProperty correctW vt 'alleviate' 
alli: vc;VNPPP VPP count natural orgHN per 'ally' 
allie: vc;VNPPP VPP count natural orgHN per 'ally' 
alliterat: vc;vt 'alliterate' 
allocat: vc;VNPPP VPP control dative give vt 'allocate' 
allott: vc;VNPPPfor VNPPhisNG dative give vt 'allot' 
allud: vc;VPP VPPNG VPhisNG mkOthersKnowledge 'allude' 
alphabetis: vc;enMove vt 'alphabetise' 
alphabetiz: vc;enMove vt 'alphabetize' 
altercat: vc; 'altercate' 
alternat: A;VI VIrecip VNPPP VPP ebla sequence vt 'alternate' 
amalgamat: vc;VI VIrecip VNPPP VPP tie 'amalgamate' 
amasse: vc;move take vt 'amass' 
amaz: vc;emph passion pred vtPer 'amaze' 
ambl: vc;VI abstract count vi 'amble' 
ambulat: vc;tie vt 'ambulate' 
ambushe: vc;group nt vt 'ambush' 
ameliorat: vc;correctW mkBetter 'ameliorate' 
amerc: vc;mkBad vt 'amerce' 
americanis: vc; 'americanise' 
ammoniat: vc;artifact 'ammoniate' 
ammonifi: vc;chgAttr vt 'ammonify' 
ammonifie: vc;chgAttr vt 'ammonify' 
amplifi: vc;VPP chgMeasure moreC vt 'amplify' 
amplifie: vc;VPP chgMeasure moreC vt 'amplify' 
amputat: vc;chgForm 'amputate' 
amus: vc;happy vt 'amuse' 
anaesthetiz: vc;mkAct vt 'anaesthetize' 
analogie: nc;abstract info 'analogy' 
analogiz: vc;think 'analogize' 
analys: vc;VNPPP VWHSS VhisNG tryToKnow vt 'analyse' 
analyz: vc;VHOWSS VNPPP VPPhowTO VTH VWHSS VhisNG infoV tryToKnow vt 'analyze' 
anastomos: vc;suit 'anastomose' 
anatomis: vc;chgForm 'anatomise' 
anatomiz: vc;chgForm 'anatomize' 
ancylos: vc;ill 'ancylose' 
anel: vc; 'anele' 
anesthetiz: vc;mkAct vt 'anesthetize' 
angl: vc;VNPPP VPP count measure vt 'angle' 
anglicis: vc;VNPPP VPP chgAttr vt 'anglicise' 
angliciz: vc;VNPPP VPP chgAttr vt 'anglicize' 
angulat: A ac; 'angulate' 
animalis: vc;vt 'animalise' 
animat: A;situation vt 'animate' 
animis: vc; 'animise' 
ankylos: vc;ill 'ankylose' 
annihilat: vc;remove vt 'annihilate' 
annotat: vc;express 'annotate' 
announc: vc;VNPPP VNPPPas VPPTH VPPhowTO VSS VTH VWHSS express infoV perOrgV vt 'announce' 
annull: vc;causeNotDo enHidden 'annul' 
annunciat: vc;VNPPP VPPTH VPPhowTO VTH VWHSS express vt 'annunciate' 
antagonis: vc;aggravateW vtPer 'antagonise' 
antagoniz: vc;remove 'antagonize' 
anteced: vc;statePhy vt 'antecede' 
antedat: vc;chgLoc statePhy timeOrSpace vt 'antedate' 
antibodie: nc;component 'antibody' 
anticipat: vc;VNPNGoc VNPPP VNPTO VSS VTH VWHSS VhisNG deduce take vVing vt 'anticipate' 
antiquat: vc; 'antiquate' 
apologie: nc;VerbNom nt 'apology' 
apologis: vc;vi 'apologise' 
apologiz: vc;VI VPP VPPNG VPPPP VPhisNG VTH troubleW vi 'apologize' 
apotheos: vc; 'apotheose' 
appeas: vc;mkBad mkBetter vt 'appease' 
apperceiv: vc;vt 'apperceive' 
appli: vc;VNPPP VNPTOsc VPNGsc VPP VPPPP VPPforTO act pt vacVO vtoV 'apply' 
applie: vc;VNPPP VNPTOsc VPNGsc VPP VPPPP VPPforTO act pt vacVO vtoV 'apply' 
appliqu: vc;artifact vt 'applique' 
appos: vc;vt 'appose' 
apprais: vc;mkOwnKnowledge vt 'appraise' 
appreciat: vc;VHOWSS VI VNPNGoc VNPPP VPP VTH VWHSS VhisNG love passion vVing vt weakPI 'appreciate' 
appris: vc;VNPPP VNPSS express vt 'apprise' 
appriz: vc;express 'apprize' 
approache: vc;Nom VNPAP VNPPP VNPPhisNG VNPTOoc VPP VPPforTO count tech up vt vtoV 'approach' 
approbat: vc;VI vt 'approbate' 
approv: vc;VI VNPPP VNPPhisNG VNPTOoc VPP VPPNG VPhisNG VhisNG pAttitude pEmo perOrgV pt vt 'approve' 
approximat: A;APP VI VNPPP VNPTObe VPP content situation vt 'approximate' 
aquaplan: vc;VI count tool vi 'aquaplane' 
arbitrat: vc;VI VPP decide persuade 'arbitrate' 
archais: vc;study 'archaise' 
archaiz: vc;study 'archaize' 
archiv: vc;count v 'archive' 
argu: vc;VI VIrecip VNPPNGoc VNPPP VPP VPPNG VPPPP VPhisNG VSS VTH VWHSS communicate haveKnowledge needForW perOrgV vt 'argue' 
argufi: vc;enDo 'argufy' 
argufie: vc;enDo 'argufy' 
aris: vc;VI VPP VPPas appear moreC move vi 'arise' 
armie: nc;component count orgHN 'army' 
aromatis: vc;enMove 'aromatise' 
aromatiz: vc;enMove 'aromatize' 
arous: vc;CR think vt 'arouse' 
arrang: vc;VHOWSS VNPPP VPP VPPforTO VPhisNG VTH VhisNG control decide mkBetter perOrgV vt vtoV 'arrange' 
arriv: vc;VI VPP VRB ceaseMove vi 'arrive' 
arrogat: vc;VNPPP enBe 'arrogate' 
arsewip: vc;curse 'arsewipe' 
arterialis: vc; 'arterialise' 
articulat: A vc;VNPPP content 'articulate' 
ascrib: vc;VNPPP express vt 'ascribe' 
aspers: vc;playDown vt 'asperse' 
asphyxiat: vc;causeNotDo ill 'asphyxiate' 
aspir: vc;VI VPP mkOwnKnowledge needForW vtoV 'aspire' 
aspirat: A vc;abstract count vt 'aspirate' 
assassinat: vc;mkBad nt perOrgV vtPer 'assassinate' 
assembl: vc;VIrecip VPP move store tie 'assemble' 
assesse: vc;VHOWSS VNPPP VNPPPas VNPasAP VWHSS check vt 'assess' 
asseverat: vc;VTH vt 'asseverate' 
assibilat: vc;vt 'assibilate' 
assimilat: vc;VNPPP VPP chgAttr metabolize mkOwnKnowledge 'assimilate' 
associat: A nc vc;VI VIrecip VNPPP VPP count per 'associate' 
assonat: vc;vt 'assonate' 
assuag: vc;chgEmo chgProperty correctW vt 'assuage' 
assum: vc;VNPEN VNPPPas VNPTObe VSS VTH bear vt 'assume' 
assur: vc;VNPNP VNPPP VNPPhisNG VNPSS VSS VTH pt vt 'assure' 
astonishe: vc;nEmo vtPer 'astonish' 
astrogat: vc; 'astrogate' 
atomis: vc;chgAttr vt 'atomise' 
atomiz: vc;chgAttr vt 'atomize' 
aton: vc;VPP improve 'atone' 
attenuat: A vc;chgProperty quantChg vt 'attenuate' 
attitudiniz: vc;VI demeanor 'attitudinize' 
attribut: vc;VNPPP VNPPhisNG count tWord vt 'attribute' 
attun: vc;VNPPP situation 'attune' 
aurifi: vc; 'aurify' 
aurifie: vc; 'aurify' 
auscultat: vc;thinking vt 'auscultate' 
auspicat: vc; 'auspicate' 
authenticat: vc;VNPPPas VTH VWHSS tWord tryToKnow vt 'authenticate' 
authoris: vc;VNPPP VNPPPas VNPTOoc VhisNG tWord vt 'authorise' 
authoritie: nc;Nom abstract onV orgHN per property vtoV 'authority' 
authoriz: vc;VNPPP VNPPPas VNPTOoc VhisNG pEmo tWord vt 'authorize' 
autobiographie: nc;abstract count 'autobiography' 
autoclav: vc;prod v 'autoclave' 
automatis: vc; 'automatise' 
autopsi: vc;count v 'autopsy' 
autopsie: vc;count v 'autopsy' 
aveng: vc;VNPPP mkBad vt 'avenge' 
avianis: vc; 'avianise' 
aviat: vc;vt 'aviate' 
avouche: vc;pEmo 'avouch' 
avuls: vc;vt 'avulse' 
awak: A vc;APP perF pred vi 'awake' 
babbl: vc;VPP abstract nt vt 'babble' 
babie: nc;count relatives vt 'baby' 
baby-sitt: vc;enGrow hyphenated 'baby-sit' 
babysitt: vc;VPP vt 'babysit' 
backfir: vc;VI count vi 'backfire' 
backpedall: vc;VI VPP 'backpedal' 
backslapp: vc; 'backslap' 
backspac: vc;VI tool v 'backspace' 
backstabb: vc; 'backstab' 
backstitche: ;v 'backstitch' 
backstopp: ;v 'backstop' 
backstrok: vc;count v 'backstroke' 
bacteris: vc; 'bacterise' 
baffl: vc;annoy artifact count passion vtPer weakPI 'baffle' 
bagg: vc;VNPPP animal count prod tool vt 'bag' 
bak: vc;VNPPPfor chgMeasure produce vt 'bake' 
balanc: vc;VNPPP VPP artifact content quant vt 'balance' 
balkanis: vc; 'balkanise' 
ballyragg: nc vc;annoy 'ballyrag' 
bamboozl: vc;vt 'bamboozle' 
bandi: A;VNPPP component vt 'bandy' 
bandie: A;VNPPP component vt 'bandy' 
banishe: vc;VNPPP expel vt 'banish' 
bann: vc;VNPPP VerbNom count remove troubleW vt 'ban' 
baptis: vc;pAttitude 'baptise' 
baptiz: vc;VNPPP VNPPPas pAttitude vt 'baptize' 
barbaris: vc;vt 'barbarise' 
barbecu: vc;VNPPP produce vt 'barbecue' 
barg: vc;VPP count tool vt 'barge' 
barr: vc;VNPPNGoc VNPPPas VhisNG artifact count dative remove vt 'bar' 
barricad: vc;VNPPP artifact count vt 'barricade' 
bas: vc;APP ATH AitPPforTO VNPPP VNPPhisNG artifact component count standard 'base' 
bashe: vc;VNPPP abstract count troubleW 'bash' 
basifi: vc;chgAttr 'basify' 
basifie: vc;chgAttr 'basify' 
bastardis: vc;vt 'bastardise' 
battl: vc;VI VIrecip VPP VPPPP VerbNom act haveContest nt vt 'battle' 
beatifi: vc;pEmo vt 'beatify' 
beatifie: vc;pEmo vt 'beatify' 
beautifi: vc;chgLooks improve vt 'beautify' 
beautifie: vc;chgLooks improve vt 'beautify' 
becom: vc;linkV vAP 'become' 
bedazzl: vc; 'bedazzle' 
bedraggl: vc; 'bedraggle' 
befitt: vc;suit vt 'befit' 
befogg: vc;mkAct 'befog' 
befuddl: vc;attack chgKnow vtPer 'befuddle' 
begg: vc;VNPPP VNPTOoc needForW perV seek vt 'beg' 
beginn: vc;VNG VNPPP VNPPPas VPNGsc VPP VPPNG VPPas act statePhy vVing vtoV 'begin' 
begrim: vc;chgLooks 'begrime' 
begrudg: vc;dative 'begrudge' 
beguil: vc;VNPPP VNPPhisNG improve vt 'beguile' 
behav: vc;VI VPP VRB act vi 'behave' 
behoov: vc; 'behoove' 
behov: vc;quality 'behove' 
belche: vc;VerbNom count statePhy 'belch' 
beli: vc;mkNoKnowledge vt 'belie' 
believ: vc;VNPAP VNPTObe VPP VPhisNG VSS VTH haveKnowledge perOrgV vt 'believe' 
belittl: vc;VhisNG attack chgProperty vtPer 'belittle' 
belly-flopp: vc;hyphenated whileAway 'belly-flop' 
bellyach: vc;VI VPP VTH vi 'bellyache' 
belov: vc; 'belove' 
bemus: nc vc;annoy chgKnow vtPer 'bemuse' 
benche: vc;count prod tool v 'bench' 
benefitt: vc;Nom VPP VPPPP abstract effectivity improve superiority vacOf vt 'benefit' 
bereav: vc;VNPPP collect vt 'bereave' 
berrie: nc;plant 'berry' 
beseeche: vc;VNPTOoc enDo vt 'beseech' 
besett: vc;VBDN attack negAdj vt 'beset' 
besieg: vc;VNPPP attack coil mkBad vt 'besiege' 
besmirche: vc;annoy playDown vt 'besmirch' 
bespeckl: vc; 'bespeckle' 
besprinkl: vc; 'besprinkle' 
bestialis: vc; 'bestialise' 
bestirr: vc;VNPPP enDo vt 'bestir' 
bett: vc;VBDN VI VNPNP VNPPP VPP VPPPP VSS VTH VerbNom count perF vAP vt 'bet' 
bevell: vc;component count vt 'bevel' 
bewar: vc;VHOWSS VPP VTH VhisNG perF vt 'beware' 
bewitche: vc;enDo vt 'bewitch' 
bicycl: vc;VI VPP VPPPP VPPdir count prod tool 'bicycle' 
bidd: nc vc;VBDN VI VNPPP VNPRB VNPTOoc VPP VPPPP VRB VerbNom count dative price vt vtoV 'bid' 
bifurcat: vc;looksChg 'bifurcate' 
bilg: vc;component 'bilge' 
biodegrad: vc;chgProperty 'biodegrade' 
bituminis: vc; 'bituminise' 
blabb: vc;VPP VPPPP VPPTH VTH mkMisunderstand vt 'blab' 
blackberrie: nc;plant 'blackberry' 
blacklegg: vc;count per vt 'blackleg' 
blam: vc;VNPPNGoc VNPPP VNPPhisNG blame hate nt passion vt weakPI 'blame' 
blar: vc;VPP abstract vt 'blare' 
blasphem: vc;chgProperty nt vt 'blaspheme' 
blatt: vc;mkSound 'blat' 
blaz: vc;VNPPP count natural vt 'blaze' 
bleache: vc;VNPAP chgLooks vt 'bleach' 
blenche: A;VI VPP nt vi 'blench' 
blesse: vc;help pEmo perOrgV vt 'bless' 
blipp: vc;VNPPP VPP VerbNom count 'blip' 
blogg: vc;abstract per v 'blog' 
blott: vc;count natural vt 'blot' 
blubb: vc;nEmo 'blub' 
blueberrie: nc;plant 'blueberry' 
blurr: vc;abstract count natural vt 'blur' 
blushe: vc;VI VPP color stateMental v 'blush' 
boat-rac: vc;count hyphenated 'boat-race' 
bobb: vc;VPP count currency per0 vt 'bob' 
bobbl: vc;abstract v 'bobble' 
bobsledd: vc;count tool v 'bobsled' 
bodg: vc;mkBad 'bodge' 
bodie: nc;bodyPart component looks 'body' 
bogg: vc;count vt 'bog' 
boggl: vc;VPP nt vt 'boggle' 
boldfac: A vc;looks 'boldface' 
bollixe: vc;mkBad 'bollix' 
bolshevis: vc; 'bolshevise' 
boogi: vc;abstract count v 'boogie' 
bootstrapp: vc;tool v 'bootstrap' 
booz: vc;VI prod vi 'booze' 
bopp: vc;abstract v 'bop' 
botche: vc;botchW count vt 'botch' 
bottl: vc;VNPPP VRB count prod 'bottle' 
bounc: vc;VI VPP VPPdir VerbNom prod0 vt 'bounce' 
bowdleris: vc;chgGood vt 'bowdlerise' 
bowdleriz: vc;chgGood vt 'bowdlerize' 
boxe: vc;VI component count tool vt 'box' 
brabbl: vc;communicate 'brabble' 
bragg: vc;VHOWSS VI VPP VPPPP VTH abstract nt vi 'brag' 
braill: vc;info 'braille' 
brainwashe: vc;VNPPP VNPPhisNG nt vt 'brainwash' 
brais: vc;VNPPP produce vt 'braise' 
brak: vc;VPP component count plant prod 'brake' 
brandishe: vc;VNPPP abstract vt 'brandish' 
breache: vc;VI VerbNom component nt statePhy vt 'breach' 
breaststrok: vc;count 'breaststroke' 
breez: vc;VI VPP count natural vi 'breeze' 
brevett: vc;abstract count 'brevet' 
brib: vc;VNPPP VNPTOoc VerbNom artifact count vt 'bribe' 
bridg: vc;VNPPP VerbNom artifact component count locUnit vt 'bridge' 
brimm: vc;VI component count v 'brim' 
bristl: vc;VI VPNGsc VPP component count prod v 'bristle' 
broache: vc;communicate vt 'broach' 
bromat: vc;chgAttr 'bromate' 
bromin: vc;artifact 'bromine' 
bruis: vc;VI VRB vt 'bruise' 
brushe: vc;VI VPP VRB count prod tWord tool vt 'brush' 
brutalis: vc;attack vtPer 'brutalise' 
brutaliz: vc;attack vtPer 'brutalize' 
buckl: vc;VI VPP component count prod vt 'buckle' 
budd: vc;component count 'bud' 
budg: vc;VPP 'budge' 
bulg: vc;VI VPP count looks v 'bulge' 
bulldoz: vc;VNPPP excite vt 'bulldoze' 
bulli: A;APP VNPPP VNPPhisNG annoy count curse per vt 'bully' 
bullie: A;APP VNPPP VNPPhisNG annoy count curse per vt 'bully' 
bullshitt: A;VNPPhisNG VPP abstract curse passion 'bullshit' 
bullyragg: vc;troubleW 'bullyrag' 
bumbl: vc;VNPPPdir VPPdir mkBad 'bumble' 
bumm: A vc;VI VNPPPfor attack curse 'bum' 
bundl: vc;VI count phy quant v 'bundle' 
bungl: vc;count 'bungle' 
burgl: vc;vt 'burgle' 
burglariz: vc;take 'burglarize' 
buri: vc;VNPPP VNPPPas enHidden move 'bury' 
burie: vc;VNPPP VNPPPas enHidden move 'bury' 
burk: vc;VNPPP refuse vt 'burke' 
burnishe: vc;abstract vt 'burnish' 
butterflie: vc;animal 'butterfly' 
buttresse: vc;VNPPP artifact count per promoteW vt 'buttress' 
by-passe: vc;artifact hyphenated v 'by-pass' 
bypasse: vc;VPP count vt 'bypass' 
cach: vc;VNPPP component count vt 'cache' 
cackl: vc;VI mkSound 'cackle' 
caddi: vc;artifact count v 'caddy' 
cadg: vc;VNPPP seek vt 'cadge' 
cajol: vc;VNPPNGoc VNPPP enDo 'cajole' 
calamitie: nc;nt phenomena 'calamity' 
calcifi: vc;chgAttr 'calcify' 
calcifie: vc;chgAttr 'calcify' 
calcimin: vc;tool v 'calcimine' 
calcin: vc;vt warmUp 'calcine' 
calculat: vc;VHOWSS VNPPP VNPPPPP VNPPPas VNPTOoc VPNGsc VPP VPPNG VSS VTH tryToKnow vt 'calculate' 
calibrat: vc;VNPPP calculate vt 'calibrate' 
calluse: vc;component 'callus' 
calumniat: A vc;annoy playDown vt 'calumniate' 
calv: vc;VI vt 'calve' 
camouflag: vc;VNPPP act artifact thinking vt 'camouflage' 
camphorat: vc;chgAttr 'camphorate' 
canaliz: vc;CR VNPPP vt 'canalize' 
cancell: vc;VI abstract perOrgV remove vt 'cancel' 
candie: nc;artifact vt 'candy' 
cano: vc;VPP count tool 'canoe' 
canonis: vc;vt 'canonise' 
canoodl: vc;chgForm 'canoodle' 
canvase: vc;artifact v 'canvas' 
canvasse: vc;VNPPP VPP vt 'canvass' 
capabilitie: nc;Nom VPPforTO abstract ebla pt solution vacOf vtoV 'capability' 
capacitat: vc; 'capacitate' 
capacitie: nc;Nom ebla measure vacOf vacVTO vtoV 'capacity' 
capitalis: vc;express vt 'capitalise' 
capitaliz: vc;VNPPP VPP express mkAct vt 'capitalize' 
capitulat: vc;VI VPP obey vi 'capitulate' 
capp: vc;VNPPP component count tool vt 'cap' 
capsiz: vc;enMove move 'capsize' 
capsulat: A vc;a enMove 'capsulate' 
capsulis: vc;enMove 'capsulise' 
capsuliz: vc;enMove 'capsulize' 
captivat: vc;VNPPP improve vt 'captivate' 
captur: vc;VNPAP VNPPP VerbNom possession prod0 vt 'capture' 
caramelis: vc; 'caramelise' 
carbonat: vc;artifact vt 'carbonate' 
carbonis: vc;chgAttr vt 'carbonise' 
carboniz: vc;chgAttr vt 'carbonize' 
carburis: vc; 'carburise' 
caresse: vc;count vt 'caress' 
carnalis: vc; 'carnalise' 
caroll: vc;VI abstract count vi 'carol' 
carous: vc;VI abstract metabolize pEmo vi 'carouse' 
carri: vc;VNPPPdir VNPRB abstract 'carry' 
carv: vc;VNPPP express vt 'carve' 
cascad: vc;VI VPP abstract count natural v 'cascade' 
cashe: vc;artifact vt 'cash' 
castigat: vc;VNPPP blame vtPer 'castigate' 
castrat: vc;enHidden 'castrate' 
catabolis: vc;chgConnect 'catabolise' 
cataboliz: vc;chgConnect 'catabolize' 
catalys: vc; 'catalyse' 
catalyz: vc;VNPPP VPP 'catalyze' 
catche: vc;VI VNPAP VNPNGoc VNPPP VPP VerbNom count tWord vt 'catch' 
categoriz: vc;VNPPP chgInclude vt 'categorize' 
catenat: vc;tie 'catenate' 
catheteris: vc;vt 'catheterise' 
catholicis: vc; 'catholicise' 
catnapp: vc;v 'catnap' 
caus: vc;VNPPPfor VNPTO VhisNG cause causeV nt vacOf vt 'cause' 
cauteris: vc;vt 'cauterise' 
cavill: vc;VPP abstract vt 'cavil' 
ceas: vc;VNG VPNGsc VPP abstract act count end vtoV 'cease' 
ced: vc;VNPPP give vt 'cede' 
celebrat: vc;pEmo pt vVing 'celebrate' 
celebritie: nc;count per prod0 'celebrity' 
centr: vc;VNPPP VPP component count onV orgHN vacOf 'centre' 
centralis: vc;chgAttr vt 'centralise' 
centraliz: vc;VNPPP chgAttr vt 'centralize' 
centurie: nc;count timeUnit 'century' 
certifi: vc;VNPAP VNPPP VNPPPas VNPTOoc VPPTH VSS VTH mkOwnKnowledge pEmo tWord vt 'certify' 
certifie: vc;VNPAP VNPPP VNPPPas VNPTOoc VPPTH VSS VTH mkOwnKnowledge pEmo tWord vt 'certify' 
challeng: vc;VI VNPPP VNPPPas VNPTOoc VSS VTH VerbNom perOrgV vt 'challenge' 
chanc: A vc;Nom abstract freq time vtoV 'chance' 
chandell: vc;abstract v 'chandelle' 
chang: vc;VNPPP VNPPPPP VNPPhisNG VPP VPPPP VerbNom chg statePhy tWord vacPTO 'change' 
channelis: vc;vt 'channelise' 
channell: vc;VNPPP VPP artifact count natural thinking vt 'channel' 
characteris: vc;chgAttr vt 'characterise' 
characteriz: vc;VNPPNGoc VNPPPas VNPasAP chgAttr vt 'characterize' 
charg: vc;VI VNPPNGoc VNPPP VNPPPas VNPTOoc VPP VPPPP VPPdir VTH VerbNom count dative vt 'charge' 
chas: vc;VNPPPdir VPP VerbNom count vt 'chase' 
chastis: vc;VNPPNGoc VNPPP VhisNG annoy blame mkBad perV vtPer 'chastise' 
chatt: vc;VIrecip VPP VPPPP VPhisNG count 'chat' 
checkmat: vc;abstract vt 'checkmate' 
cherishe: vc;VNPPP enLive feeling fondOf vt 'cherish' 
chican: vc;abstract v 'chicane' 
chim: vc;count prod 'chime' 
chisell: vc;VNPPP count prod tool vt 'chisel' 
chit-chatt: vc;communicate hyphenated 'chit-chat' 
chivvi: vc;approach vt 'chivy' 
chivvie: vc;approach vt 'chivy' 
chlorinat: vc;chgAttr vt 'chlorinate' 
chok: vc;VI VNPPP VPP component count nt vt 'choke' 
chondrifi: vc;chgAttr 'chondrify' 
chondrifie: vc;chgAttr 'chondrify' 
choos: vc;VNPNP VNPPP VNPPPas VNPTOoc VWHSS useC vacVO vt vtoV 'choose' 
