20-20_technologies::: NNP NE;nc com nc 
angle_of_reflection::: N nc; 
angle_of_refraction::: N nc; 
angle_of_view::: N nc; 
anhui_anke_biotechnology::: NNP NE;nc com nc 
anhui_chlor-alkali_chemical_group::: NNP NE;nc com nc 
anhui_fengle_agrochemical::: NNP NE;nc com nc 
anne_arundel_community_college::: ;NN nc org 
anqing_hexing_chemical::: NNP NE;nc com nc 
answer_back::: VB vc;vt 
anterior_cruciate_ligament::: NN nc;bodyPart 
anterior_cruciate_ligament_reconstruction::: N nc;treatment 
anterior_intravaginal_slingplasty::: N nc;treatment 
anterior_spine_fusion::: N nc;treatment 
anterolateral_thigh_flap::: N nc;treatment 
anti_cardiolipin_level::: N nc;abstract 
antiangiogenic_gene_therapy::: N nc;treatment 
antibody_positive_aids_test::: N nc;treatment 
antigen_positive_aids_test::: N nc;treatment 
anus_cancer_cellular_diagnosis::: N nc;treatment 
anycom_technologies::: NNP NE;nc com nc 
aorta_valve_replacement::: N nc;treatment 
aortic_arch_surgery::: N nc;treatment 
aortic_root_surgery::: N nc;treatment 
aortic_valve_commissurotomy::: N nc;treatment 
aortic_valve_repair::: N nc;treatment 
apartment_investment_and_management::: NNP NE;nc com nc 
apex_biotechnology::: NNP NE;nc com nc 
apogee_technology::: NNP NE;nc com nc 
apollo_college_-albuquerque_campus::: ;NN nc org 
apollo_college_-mesa_campus::: ;NN nc org 
apollo_college_-phoenix_campus::: ;NN nc org 
apollo_college_-portland_campus::: ;NN nc org 
apollo_college_-spokane_campus::: ;NN nc org 
apollo_college_-tucson_campus::: ;NN nc org 
apollo_college_-westside_campus::: ;NN nc org 
apostle_of_germany::: N nc;per 
apostle_of_the_gentiles::: N nc;per 
appa_technology::: NNP NE;nc com nc 
appalachian_bible_college::: ;NN nc org 
appalachian_state_university::: ;NN nc org 
appeal_board::: N nc;orgHN 
apple_computer::: NNP NE;nc com nc 
application_program::: NN nc;tool 
application_support_engineer::: N nc;job 
applied_digital_solutions::: NNP NE;nc com nc 
applied_industrial_technologies::: NNP NE;nc com nc 
applied_micro_circuits::: NNP NE;nc com nc 
applied_signal_technology::: NNP NE;nc com nc 
applied_technology_associates::: NNP NE;nc com nc 
apria_healthcare_group::: NNP NE;nc com nc 
aptera_motors::: NNP NE;nc com nc 
aracruz_celulose::: NNP NE;nc com nc 
arbusto_energy::: NNP NE;nc com nc 
arcal_chemicals::: NNP NE;nc com nc 
arch_chemicals::: NNP NE;nc com nc 
architectural_and_transportation_barriers_compliance_board::: ;NN nc org 
architectural_job_captain::: N nc;job 
argon_plasma_coagulation::: N deverbal nc;treatment 
arihant_chemicals_&_resins::: NNP NE;nc com nc 
arima_optoelectronics::: NNP NE;nc com nc 
arise_technologies::: NNP NE;nc com nc 
arizona_state_university_-east_campus::: ;NN nc org 
arizona_state_university_-extended_campus::: ;NN nc org 
arizona_state_university_-tempe::: ;NN nc org 
arizona_state_university_-west_campus::: ;NN nc org 
arizona_western_college::: ;NN nc org 
ark_of_the_covenant::: N nc;tool 
arkansas_state_university_-beebe::: ;NN nc org 
arkansas_state_university_-jonesboro::: ;NN nc org 
arkansas_state_university_-mountain_home::: ;NN nc org 
arkansas_state_university_-newport::: ;NN nc org 
arkansas_tech_university::: ;NN nc org 
armed_islamic_group::: N nc;orgHN 
armored_combat_vehicle::: N nc;prod 
armour_industrial_chemicals::: NNP NE;nc com nc 
armoured_combat_vehicle::: N nc;prod 
armstrong_state_university::: ;NN nc org 
army_high_performance_computing_research_center::: ;NN nc org 
around_the_bend::: A ac;idiomPP pred 
around_the_corner::: A ac;idiomPP 
around_the_country::: ;RB idiomPP scope 
arran_chemical::: NNP NE;nc com nc 
arrhythmia_resh_technology::: NNP NE;nc com nc 
arrive_at::: VB vc;vtt 
arrive_in::: VB vc;vtt 
arrow_chemical::: NNP NE;nc com nc 
arrow_electronics::: NNP NE;nc com nc 
art_advanced_research_technologies::: NNP NE;nc com nc 
art_institute_of_california_-san_francisco::: ;NN nc org 
art_institutes_international_minnesota::: ;NN nc org 
art_technology_group::: NNP NE;nc com nc 
artec_technologies::: NNP NE;nc com nc 
arthur_ochs_sulzberger_jr.::: NNP NE;nc com nc 
as_a_matter_of_course::: ;RB expression idiomPP 
as_a_matter_of_principle::: RP;RB idiomPP sRB 
as_a_matter_of_protocol::: RP;RB idiomPP sRB 
as_an_afterthought::: RP;RB idiomPP sRB 
as_an_aside::: ;RB idiomPP 
as_compared_with::: P; 
as_far_as::: P;SC 
as_hell_but_fun::: A ac oral;coolC 
as_it_stands::: RP xC;RB idiomPP sRB 
as_long_as::: P;SC 
as_opposed_to::: P; 
as_regard_to::: P;about content /about/ 
as_soon_as::: P;SC 
as_things_stand::: RP;RB idiomPP sRB 
as_well_as::: P;CC SC 
asahi_chemical::: NNP NE;nc com nc 
asahi_glass::: NNP NE;nc com nc 
asbury_theological_seminary::: ;NN nc org 
ascending_aorta_surgery::: N nc;treatment 
ascent_solar_technologies::: NNP NE;nc com nc 
ascential_software::: NNP NE;nc com nc 
asea_brown_boveri::: NNP NE;nc com nc 
asheville-buncombe_technical_community_college::: ;NN nc org 
ashland_chemicals::: NNP NE;nc com nc 
asi_technology::: NNP NE;nc com nc 
ask_in::: VB vc;vt 
ask_out::: VB vc;VNPPP vt 
ask_over::: VB vc;VNPPP vt 
ask_up::: VB vc;VNPPP vt 
asm_pacific_technology::: NNP NE;nc com nc 
aspen_technology::: NNP NE;nc com nc 
assistant_deputy_minister::: N nc;job 
assistant_planning_officer::: N nc;job 
associate_marketing_manager::: N nc;job 
associate_product_marketing_manager::: N nc;job 
asst_planning_officer::: N nc;job 
assumption_college_for_sisters::: ;NN nc org 
astomos_energy::: NNP NE;nc com nc 
asustek_computer::: NNP NE;nc com nc 
asyst_technology::: NNP NE;nc com nc 
at&s_austria_technologie_und_systemtechnik::: NNP NE;nc com nc 
at_a_crossroads::: A ac;idiomPP 
at_a_discount::: A ac;idiomPP 
at_a_loss::: A ac;idiomPP pred 
at_a_loss_for_words::: A ac;idiomPP pred 
at_a_low_ebb::: A ac;idiomPP pred 
at_a_premium::: A ac;idiomPP pred 
at_a_sitting::: ;RB idiomPP 
at_a_stretch::: ;RB idiomPP 
at_a_stroke::: ;RB idiomPP 
at_a_turning_point::: A ac;idiomPP 
at_all_cost::: ;RB idiomPP intensifier 
at_all_costs::: ;RB idiomPP intensifier plu 
at_all_times::: ;RB freq idiomPP plu 
at_any_cost::: ;RB idiomPP intensifier 
at_any_price::: ;RB expression idiomPP intensifier 
at_any_rate::: ;RB idiomPP 
at_close_quarters::: A ac;idiomPP 
at_cross_purposes::: A ac;idiomPP pred 
at_death's_door::: A ac;idiomPP 
at_each_other's_throat::: A ac;idiomPP 
at_each_other's_throats::: A ac;idiomPP 
at_every_turn::: ;RB idiomPP 
at_face_value::: ;RB idiomPP pred 
at_first_glance::: ;RB idiomPP 
at_first_look::: ;RB idiomPP 
at_full_tilt::: A ac;idiomPP 
at_loose_ends::: A ac;idiomPP 
at_one_fell_swoop::: A ac;idiomPP 
at_one_time_or_another::: ;RB idiomPP 
at_risk_of::: P;nt vtt 
at_that_point::: ;RB idiomPP 
at_that_rate::: ;RB idiomPP 
at_that_stage::: ;RB idiomPP 
at_that_stage_of_the_game::: ;RB idiomPP 
at_that_time::: ;RB idiomPP timeRB 
at_the_bottom_of_the_heap::: A ac;idiomPP 
at_the_bottom_of_the_pile::: A ac;idiomPP 
at_the_drop_of_a_hat::: ;RB idiomPP 
at_the_end_of::: P;vtt 
at_the_helm::: A ac;idiomPP pred 
at_the_present_time::: ;RB idiomPP timeRB 
at_the_ready::: A ac;idiomPP //risky boundary?
at_the_soonest::: ;RB idiomPP 
at_the_very_least::: ;RB idiomPP 
at_the_very_most::: ;RB idiomPP 
at_the_very_outside::: ;RB idiomPP 
at_this_juncture::: ;RB idiomPP timeRB 
at_this_moment::: ;RB idiomPP timeRB 
at_this_point::: ;RB expression idiomPP timeRB 
at_this_point_in_time::: ;RB expression idiomPP timeRB 
at_this_point_of_time::: ;RB expression idiomPP timeRB 
at_this_rate::: ;RB idiomPP rate 
at_this_stage::: ;RB expression idiomPP 
at_this_stage_of_the_game::: ;RB idiomPP 
at_time_of::: P;timeR vtt 
at_times_like_this::: ;RB idiomPP timeRB 
at_wit's_end::: A ac;idiomPP 
atchison_topeka_and_santa_fe_railway::: NNP NE;nc com nc 
athens_state_university::: ;NN nc org 
ational_drugs_and_chemicals::: NNP NE;nc com nc 
atlantic_baptist_bible_college::: ;NN nc org 
atm_computer::: NNP NE;nc com nc 
atofina_petrochemicals::: NNP NE;nc com nc 
atomic_mass_unit::: NN nc unit; 
attack_aircraft_carrier::: N nc;tool 
au_pair_girl::: NN nc;job 
auburn_technology::: NNP NE;nc com nc 
auction_off::: VB vc;VNPPP vt 
audio_compact_disc::: N nc;tool 
audio_video_lighting_electronics::: NNP NE;nc com nc 
augusta_state_university::: ;NN nc org 
augusta_technologie::: NNP NE;nc com nc 
augustana_college::: ;NN nc org 
aureal_semiconductor::: NNP NE;nc com nc 
aurora_imaging_technology::: NNP NE;nc com nc 
auspure_biotechnology::: NNP NE;nc com nc 
austin_peay_state_university::: ;NN nc org 
autologous_bone_marrow_transplantation::: N nc;treatment 
automated_phone_number::: N nc;prod 
automated_teller_machine::: NN nc;tool 
automatic_data_processing::: NNP NE;nc com nc 
automatic_data_processing_system::: N nc;prod tool 
automatic_teller_machine::: NN nc;tool 
auxiliary_research_submarine::: N nc;tool 
avago_tech::: NNP NE;nc com nc 
average_out::: VB vc;VNPPP VPP vt 
avery_dennison::: NNP NE;nc com nc 
avex_trax::: NNP NE;nc com nc 
aviation_component_solutions::: NNP NE;nc com nc 
aviation_instrument_technology::: NNP NE;nc com nc 
aviation_technology_group::: NNP NE;nc com nc 
avichina_industry_&_technology::: NNP NE;nc com nc 
avid_technology::: NNP NE;nc com nc 
aviza_technology::: NNP NE;nc com nc 
award_show::: NN nc; 
aws_convergence_technologies::: NNP NE;nc com nc 
axillofemoral_artery_anastomosis::: N nc;treatment 
axiom_of_choice::: N nc; 
axis_of_rotation::: NN nc;tool 
axsys_technologies::: NNP NE;nc com nc 
ayers_state_technical_college::: ;NN nc org 
azcar_technologies::: NNP NE;nc com nc 
azusa_pacific_university::: ;NN nc org 
b&b_electronics::: NNP NE;nc com nc 
b._f._goodrich_chemical::: NNP NE;nc com nc 
babington_technology::: NNP NE;nc com nc 
baby_bed::: N nc;prod tool 
back_away::: VB vc;VNPPP VPP vt 
back_down::: VB vc;VNPPP VPP vt 
back_off::: VB vc;VNPPP VPP vt 
back_on::: VB vc;VPP 
back_out::: VB vc;VNPPP VPP vt 
back_over::: VB vc;VNPPP 
back_to_the_drawing_board::: ;RB idiomPP 
back_up::: VB vc;VI VNPPP VNPPPas VPP vt 
backwards_and_forwards::: ;RB advX idiomPP 
bad_and_good::: N nc; 
bad_boy_records::: NNP NE;nc com nc 
bad_credit_loan_center::: NN nc;org 
bad_mutha_fucka::: N nc;coolC 
bad_mutha_fukkka::: N nc;coolC 
bad_to_the_bone::: N nc;good 
bailu_chemical_fiber::: NNP NE;nc com nc 
baiquan_chemical_fibres::: NNP NE;nc com nc 
baker_performance_chemicals::: NNP NE;nc com nc 
baldwin-wallace_college::: ;NN nc org 
baldwin_technology::: NNP NE;nc com nc 
ball_aerospace_&_technologies::: NNP NE;nc com nc 
ball_state_university::: ;NN nc org 
ball_up::: VB vc;VNPPP 
ballard_technology::: NNP NE;nc com nc 
ballistic_missile_defense_organization::: ;NN nc org 
banair_electronic_engineers::: NNP NE;nc com nc 
banco_de_oro_universal_bank::: NNP NE;nc com nc 
band_together::: VB vc;VPP vt 
bando_chemical::: NNP NE;nc com nc 
bang_out::: VB vc;vt 
bang_up::: VB vc;vt 
bank_holding_company::: NN nc;com 
bank_of_tokyo-mitsubishi_ufj::: NNP NE;nc com nc 
bargain_down::: VB vc;vt 
bascom_maple_farms::: NNP NE;nc com nc 
based_on::: P; 
basic_point_defense_missile_system::: N nc;prod tool 
bates_technical_college::: ;NN nc org 
batten_down::: VB vc;vt 
bayer_chemicals::: NNP NE;nc com nc 
bayer_technology_services::: NNP NE;nc com nc 
bayerische_motoren_werke::: NNP NE;nc com nc 
baylor_college_of_dentistry::: ;NN nc org 
baylor_college_of_medicine::: ;NN nc org 
baylor_university::: ;NN nc org 
bbn_technologies::: NNP NE;nc com nc 
beam_of_light::: N nc; 
beam_up::: VB vc;vt 
bear_down::: VB vc;VI VPP 
bear_in::: VB vc;VPP 
bear_mountain_golf_and_country_club::: NNP NE;nc com nc 
bear_out::: VB vc;vt 
bear_shit_in_the_woods::: N nc; 
bearing_false_witness::: N nc;ness 
beast_of_burden::: N nc; 
beat_out::: VB vc;vt 
beaver_away::: VB vc;VI VPP 
bebe_stores::: NNP NE;nc com nc 
bed_and_breakfast::: N nc;com 
bed_down::: VB vc;VNPPP 
bed_of_flowers::: N nc; 
bed_of_roses::: N nc; 
behind_closed_doors::: A ac;idiomPP 
behind_the_eight_ball::: A ac;idiomPP 
behind_the_scenes::: A ac;idiomPP 
bei_technologies::: NNP NE;nc com nc 
beijing_flaming_technology_and_trade::: NNP NE;nc com nc 
beijing_jingxin_biochemical_products_factory::: NNP NE;nc com nc 
beijing_vision_sky_aerospace_technology::: NNP NE;nc com nc 
bekaert_fibre_technologies::: NNP NE;nc com nc 
bekk_consulting::: NNP NE;nc com nc 
bell_labs::: NNP NE;nc com nc 
belle_de_nuit::: N nc; 
bellin_college_of_nursing::: ;NN nc org 
bellingham_technical_college::: ;NN nc org 
belmont_abbey_college::: ;NN nc org 
belong_to::: VB vc; 
below_knee_amputation::: N nc;treatment 
below_the_belt::: A ac;idiomPP 
belt_out::: VB vc;vt 
belzberg_technologies::: NNP NE;nc com nc 
bemidji_state_university::: ;NN nc org 
bence_jones_test::: N nc;tech 
benchmark_electronics::: NNP NE;nc com nc 
bend_back::: VB vc;vt 
bend_down::: VB vc;vt 
bend_forward::: VB vc;vt 
bend_over::: VB vc;vt 
benefit_of_clergy::: N nc; 
benign_prostatic_hyperplasia::: N nc; 
berklee_college_of_music::: ;NN nc org 
beside_the_point::: A ac;idiomPP 
best_and_worst::: N nc;abstract 
best_evidence_rule::: N nc; 
bet_on::: VB vc;VNG VNPTOoc 
beta_adrenergic_receptor_blocking::: N nc;treatment 
beta_adrenergic_stimulation::: N nc;treatment 
bethel_college_and_seminary::: ;NN nc org 
bethune-cookman_college::: ;NN nc org 
between_a_rock_and_a_hard_place::: A ac;idiomPP 
between_the_eyes::: ;RB idiomPP 
between_the_lines::: ;RB idiomPP 
between_you_and_me::: A ac;idiomPP 
betwixt_and_between::: A ac;idiomPP 
beyond_a_doubt::: A;RB idiomPP intensifier 
beyond_a_reasonable_doubt::: ;RB idiomPP pred 
beyond_a_shadow_of_a_doubt::: A;RB idiomPP intensifier 
